Steps	loss/actor_loss	loss/log_probs	eval/Cost	eval/Reward	eval/Length	train/best_idx	update/env_step
2499	0.9661520300626741	-0.9661520300626741	12.6	76.58107252457202	55.9	2499.0	2499.0
4999	0.6094929771542545	-0.6094929771542545	1.3	246.1146018784998	183.4	4999.0	4999.0
7499	0.5135165289461612	-0.5135165289461612	8.4	95.85976967089663	65.0	4999.0	7499.0
9999	0.448921728748083	-0.448921728748083	0.0	370.220325905352	305.3	9999.0	9999.0
12499	0.3957169310703872	-0.3957169310703872	7.6	318.0791544367151	261.9	9999.0	12499.0
14999	0.36977147092223206	-0.36977147092223206	15.1	109.61949533514728	74.0	9999.0	14999.0
17499	0.3388802139312028	-0.3388802139312028	49.1	854.63420364317	624.3	9999.0	17499.0
19999	0.3055839824169874	-0.3055839824169874	18.8	204.03089073722555	142.0	9999.0	19999.0
22499	0.28436365883164055	-0.28436365883164055	0.0	363.65427523447045	296.7	9999.0	22499.0
24999	0.27029490488618513	-0.27029490488618513	18.5	448.2603518678458	302.6	9999.0	24999.0
27499	0.24777600402235989	-0.24777600402235989	15.8	181.57802629114516	136.3	9999.0	27499.0
29999	0.2316289891768243	-0.2316289891768243	16.2	93.05442308720889	63.7	9999.0	29999.0
32499	0.21273844715058796	-0.21273844715058796	20.9	78.27500412969775	50.4	9999.0	32499.0
34999	0.1984880945455282	-0.1984880945455282	12.4	187.04981623356176	138.1	9999.0	34999.0
37499	0.18641695070974545	-0.18641695070974545	0.1	913.0767404088976	740.5	9999.0	37499.0
39999	0.17592757228501157	-0.17592757228501157	14.1	421.53658479149055	275.8	9999.0	39999.0
42499	0.16291296697892257	-0.16291296697892257	6.9	1483.518184361188	1000.0	9999.0	42499.0
44999	0.1520180550251153	-0.1520180550251153	5.8	208.61861358047955	158.4	9999.0	44999.0
47499	0.13794840021543225	-0.13794840021543225	6.8	174.77237892499255	139.9	9999.0	47499.0
49999	0.13493108428660772	-0.13493108428660772	17.8	706.8297000303646	450.7	9999.0	49999.0
52499	0.12286786658614877	-0.12286786658614877	2.4	822.301105282294	711.8	9999.0	52499.0
54999	0.10823211331702763	-0.10823211331702763	25.1	142.58923890603813	100.1	9999.0	54999.0
57499	0.10606131510473804	-0.10606131510473804	6.4	619.0235896886077	505.3	9999.0	57499.0
59999	0.09290575421601519	-0.09290575421601519	37.1	1100.2601179483386	737.3	9999.0	59999.0
62499	0.08238117842990897	-0.08238117842990897	38.5	354.59416268505163	228.7	9999.0	62499.0
64999	0.08057110549695784	-0.08057110549695784	29.5	519.3527114825895	351.0	9999.0	64999.0
67499	0.07149122752845313	-0.07149122752845313	3.2	587.7147815237788	443.8	9999.0	67499.0
69999	0.06258048273194584	-0.06258048273194584	0.0	381.16766830537796	305.2	69999.0	69999.0
72499	0.053420637143403296	-0.053420637143403296	11.6	248.80409065891973	179.3	69999.0	72499.0
74999	0.04919077614583082	-0.04919077614583082	12.7	908.7140546151999	703.5	69999.0	74999.0
77499	0.043156783077865815	-0.043156783077865815	29.4	556.6827423669181	368.8	69999.0	77499.0
79999	0.03545624684430662	-0.03545624684430662	6.3	212.7157956757479	149.9	69999.0	79999.0
82499	0.02937335048541428	-0.02937335048541428	5.2	411.36557423820403	319.1	69999.0	82499.0
84999	0.019588152220286387	-0.019588152220286387	1.3	915.531283042725	752.9	69999.0	84999.0
87499	0.020426511149480978	-0.020426511149480978	18.3	1068.8073670634071	683.7	69999.0	87499.0
89999	0.011708343293517826	-0.011708343293517826	12.8	488.24710343009895	350.7	69999.0	89999.0
92499	0.0065051069060340465	-0.0065051069060340465	7.6	240.50372328261147	168.0	69999.0	92499.0
94999	0.006593888844177123	-0.006593888844177123	33.6	602.2963377409961	409.6	69999.0	94999.0
97499	-0.0018115360397845518	0.0018115360397845518	7.4	408.8810428001647	291.1	69999.0	97499.0
99999	-0.009954836747422815	0.009954836747422815	13.8	300.80644874648806	197.8	69999.0	99999.0
