Steps	loss/loss_vae	loss/critic_loss	loss/cost_critic_loss	loss/actor_loss	loss/qc_penalty	loss/lagrangian	eval/Cost	eval/Reward	eval/Length	train/best_idx	update/env_step
2499	0.10160762055516252	0.0014833906786026778	0.25460117766570156	0.13129172983281298	-1.9645367164459785e-05	1.1544714946118448e-05	49.7	7.325673158810144	1000.0	2499.0	2499.0
4999	0.08709923921525475	0.00015547730150147792	0.3027074327754226	0.11885605683624742	-3.0844978168071456e-05	2.5891991035759045e-05	42.7	6.761054067089545	1000.0	4999.0	4999.0
7499	0.08431944446861726	0.00010295505815082285	0.37155664723280396	0.09920825200676929	-3.2068174085283385e-05	3.530742210172662e-05	20.8	5.030443362009947	1000.0	7499.0	7499.0
9999	0.08252809427678584	9.706207373533492e-05	0.4439376437368165	0.07810141353607196	-3.00992693514388e-05	3.963684509733487e-05	51.5	8.619478206120291	1000.0	7499.0	9999.0
12499	0.08147438486516473	0.00010203335200863771	0.5098066188646847	0.05835806223005057	-3.0359482877952337e-05	4.373653449895596e-05	63.6	7.853780822730256	1000.0	7499.0	12499.0
14999	0.08097189732491956	0.00011143035995404218	0.5598517529076905	0.04172973788976675	-3.161607522779374e-05	4.598309529540629e-05	48.2	9.993151521712857	1000.0	7499.0	14999.0
17499	0.08026422032117829	0.00013207239804687896	0.5919133495714832	0.028075701713189516	-3.44873659786234e-05	4.7396007405800967e-05	52.5	8.824241133715494	1000.0	7499.0	17499.0
19999	0.07990800461769097	0.00014913659303931334	0.6196438420359709	0.01681090843342243	-4.042090320942003e-05	5.000290759147252e-05	30.9	5.024363867157851	1000.0	7499.0	19999.0
22499	0.0793176753804088	0.0001698698275732813	0.6394483854140286	0.007631391029877696	-4.574305339679506e-05	5.047039144406112e-05	32.1	6.492920274249694	1000.0	7499.0	22499.0
24999	0.07912302110493183	0.00018060730302307766	0.6483246516702191	0.0005445018925354835	-5.1836087623075865e-05	5.0589429260708094e-05	61.4	8.902049603653275	1000.0	7499.0	24999.0
27499	0.07888035255074506	0.00019160647091007795	0.6592604855685607	-0.005066818955486814	-5.825140836976174e-05	5.002374983971267e-05	46.6	11.139141451160993	1000.0	7499.0	27499.0
29999	0.07870542970001679	0.00019975602487333057	0.6620074316793806	-0.00958843295390256	-6.77242917387638e-05	5.1901998479143025e-05	54.3	12.607645067865626	1000.0	7499.0	29999.0
32499	0.07823283864408744	0.00020773450665338106	0.651655423273641	-0.013069879816379403	-7.587314268320143e-05	5.199559049371494e-05	20.3	7.754111629187565	1000.0	32499.0	32499.0
