Steps	loss/loss_vae	loss/critic_loss	loss/cost_critic_loss	loss/actor_loss	loss/qc_penalty	loss/lagrangian	eval/Cost	eval/Reward	eval/Length	train/best_idx	update/env_step
2499	0.10129016443490983	0.0012403010005047068	0.253168741372621	0.10688270941656114	-1.8803377868027117e-05	1.1849911402837797e-05	50.7	3.6057166676583723	1000.0	2499.0	2499.0
4999	0.0870361276686192	0.0001380736300477223	0.30142254755286785	0.09722319580614575	-2.7823410217442278e-05	2.524497316022971e-05	50.4	12.222904443268442	1000.0	4999.0	4999.0
7499	0.08404049531519403	0.0001030361535113606	0.3658831960393111	0.08036290516555337	-2.9011664371182553e-05	3.3667849988523835e-05	60.7	12.014246232442053	1000.0	4999.0	7499.0
9999	0.08254777114391315	0.00010124057031936643	0.4348307182445411	0.061623115991055966	-2.971807763416306e-05	3.955719541110371e-05	59.3	10.258121410391198	1000.0	4999.0	9999.0
12499	0.08156457074284576	0.00011030115591620437	0.4926421685269349	0.0449039386369288	-3.108006411080307e-05	4.2796431088633765e-05	21.6	8.321826375847202	1000.0	12499.0	12499.0
14999	0.08074748890250931	0.00012449268638347	0.5397192382813976	0.030789100626110996	-3.378551514932723e-05	4.475208437366689e-05	63.0	7.672185109121605	1000.0	12499.0	14999.0
17499	0.0803865672171115	0.0001397261298422484	0.5775497691772032	0.019305393398180593	-3.793046158893671e-05	4.5531585568531335e-05	40.7	9.808968940177426	1000.0	12499.0	17499.0
19999	0.07958603744804871	0.00015817589162544615	0.6027088942929126	0.009778390906660958	-4.34233668014827e-05	4.693035534700135e-05	20.2	6.004191838050549	1000.0	19999.0	19999.0
22499	0.07906809411346892	0.00017365863467059292	0.6306716359471108	0.0020612400221321895	-5.110096712398337e-05	4.8909215820916005e-05	23.2	11.047307767110219	1000.0	19999.0	22499.0
24999	0.07906718728244293	0.0001781587762159709	0.6347031867644453	-0.004142180409829593	-5.840633673320769e-05	4.92073152293471e-05	35.0	11.255971558197585	1000.0	19999.0	24999.0
27499	0.07862907737046472	0.00019422990113604645	0.6425341853854762	-0.009187071087374333	-6.496966055918852e-05	4.862587009241678e-05	50.2	6.926836559847241	1000.0	19999.0	27499.0
29999	0.07830855565071083	0.00020520798882053232	0.6367334301824094	-0.012875278343306864	-7.065656960862151e-05	4.745877331359626e-05	40.3	9.76987364569498	1000.0	19999.0	29999.0
32499	0.07829986229538906	0.00021155239006743462	0.6348353090434814	-0.015721072457171997	-7.969673928205343e-05	4.84100732118079e-05	26.3	9.68321214074316	1000.0	19999.0	32499.0
34999	0.07801795402765288	0.00021689726899289585	0.6189187891957585	-0.018051645395718546	-8.450618356317748e-05	4.721607606016253e-05	36.1	6.129513748091859	1000.0	19999.0	34999.0
37499	0.07758647776842108	0.00022742860484912262	0.6105244144096463	-0.019860464320704235	-8.9895949891769e-05	4.630537294831072e-05	51.2	5.150253436905403	1000.0	19999.0	37499.0
39999	0.07766186882853514	0.00023005981013951771	0.6037676677086775	-0.021172388152405647	-0.00010113600415244839	4.839997049966773e-05	48.1	8.773317414364687	1000.0	19999.0	39999.0
42499	0.07740572446584704	0.00023433499855147512	0.589836118965131	-0.022046624078974123	-0.00010631634958021166	4.708444145955606e-05	47.4	8.908770022481713	1000.0	19999.0	42499.0
44999	0.07749870334714642	0.00023411756264547583	0.5851986318931921	-0.02282887767404319	-0.00011022325453920969	4.6018114466457314e-05	28.6	5.434673812453863	1000.0	19999.0	44999.0
47499	0.07714570673704145	0.00023790858933023953	0.583163276512508	-0.02350631612353027	-0.00011609681464663744	4.580400813756388e-05	17.5	7.276845449218972	1000.0	47499.0	47499.0
49999	0.07674400297701359	0.00023586266969898684	0.5729111070184243	-0.024037527652457355	-0.00012521685738546768	4.6794436669577585e-05	46.2	9.891150732035236	1000.0	47499.0	49999.0
52499	0.07676346809715026	0.00023652989813936518	0.568095475956027	-0.024888056215271383	-0.00012737225057753653	4.526789389824441e-05	14.3	4.04733470407898	1000.0	52499.0	52499.0
54999	0.07682112230509508	0.0002414940261651096	0.5777860915485815	-0.025861339637264582	-0.00013271682893062017	4.51893190121439e-05	63.8	11.223692392754893	1000.0	52499.0	54999.0
57499	0.0764986396223306	0.00024384297672065553	0.5824094971146969	-0.02639993936046958	-0.00013933001327071686	4.5438082795914094e-05	43.7	13.0087095570115	1000.0	52499.0	57499.0
59999	0.07642026129066923	0.0002446354226133605	0.5954953734691865	-0.02721972530186179	-0.00014223921651907858	4.478484883716184e-05	39.4	10.392539063859166	1000.0	52499.0	59999.0
62499	0.07629449080228795	0.0002449535767845371	0.5987692157140396	-0.028292163933813546	-0.0001552600837331057	4.7414073481088e-05	15.8	5.835303126805653	1000.0	52499.0	62499.0
64999	0.07637957408875237	0.00024540505074288686	0.596860764529647	-0.0290826541543007	-0.00016041889951844707	4.747600447633715e-05	34.7	9.363858450372268	1000.0	52499.0	64999.0
67499	0.0763212404847143	0.00024685261117283504	0.6140385100265309	-0.03013266840502627	-0.00016461339370019934	4.754644001135511e-05	60.3	11.388878047118675	1000.0	52499.0	67499.0
69999	0.0760995367228983	0.0002501627319797588	0.6218694762746741	-0.03096364756301048	-0.0001791969539332512	5.05853886957708e-05	36.0	9.256461840400348	1000.0	52499.0	69999.0
72499	0.07589379198998197	0.000246674430300499	0.6330826174858633	-0.03167925547361379	-0.0001828911910899251	5.050958071070688e-05	19.9	7.7993112339368995	1000.0	52499.0	72499.0
74999	0.07611729345172637	0.0002423814897310608	0.630920779310216	-0.032496998065710166	-0.00018418417874590848	4.994591524830417e-05	27.8	9.343910506457856	1000.0	52499.0	74999.0
77499	0.07589873456358916	0.0002439738402931344	0.642093795101994	-0.03327692613676192	-0.0001930838174372468	5.160768487111791e-05	20.5	10.648743298045462	1000.0	52499.0	77499.0
79999	0.07578142931759349	0.0002423821093753442	0.6488260058703084	-0.03392669915854934	-0.00019790907629623546	5.217602693896594e-05	32.0	6.799388090667415	1000.0	52499.0	79999.0
82499	0.07584239616245018	0.0002415254089805414	0.6495179002578986	-0.03479672850742934	-0.0002052471731885358	5.359619703816643e-05	11.0	3.4393807764659265	1000.0	82499.0	82499.0
84999	0.07591786070764069	0.00023893727834575486	0.660644324145579	-0.035561935508996285	-0.00020875699976998034	5.3916675281206546e-05	40.1	9.436992319790845	1000.0	82499.0	84999.0
87499	0.07567842603325829	0.0002452564634945797	0.6837674670921148	-0.03630920970886951	-0.00020883706843604862	5.335291951842936e-05	41.1	7.661304933683808	1000.0	82499.0	87499.0
89999	0.07563999981284136	0.0002404621752369588	0.6987617245193396	-0.03732079469487073	-0.00022491025265197198	5.7104152470077526e-05	46.0	10.094930227446053	1000.0	82499.0	89999.0
92499	0.07555238713622092	0.000244917197845741	0.6878567943556938	-0.03794732452630999	-0.00021815510546416574	5.500544879902809e-05	53.5	8.559298878641954	1000.0	82499.0	92499.0
94999	0.07545578469038006	0.0002466444494273514	0.7010159951787204	-0.03894867426231507	-0.00023157502294843626	5.800549246069982e-05	54.5	10.158155158112038	1000.0	82499.0	94999.0
97499	0.07539855631887926	0.00023761471974468448	0.6867393698502974	-0.03983485722169282	-0.00023046890773542828	5.7129713510263996e-05	19.4	3.987776341121377	1000.0	82499.0	97499.0
99999	0.07531151646375642	0.00024367310880382687	0.6945563896665007	-0.040666940122097824	-0.00022796816262048213	5.614194493752221e-05	33.9	8.059817463999469	1000.0	82499.0	99999.0
