Steps	loss/loss_vae	loss/critic_loss	loss/cost_critic_loss	loss/actor_loss	loss/mmd_loss	loss/qc_penalty	loss/lagrangian	loss/alpha_value	eval/Cost	eval/Reward	eval/Length	train/best_idx	update/env_step
2499	0.10124035095870493	0.0011727526811672153	0.25364772311058686	0.07596629087775941	0.0326148749187588	-1.909614254888515e-05	1.1522582076910129e-05	0.9847698255300528	65.2	5.13812258277004	1000.0	2499.0	2499.0
4999	0.08777057638764396	0.00013041097117155864	0.30203784594635646	0.0631838814988733	0.025632172907888835	-3.0253214958266075e-05	2.507393578299928e-05	0.9314776819705952	30.9	4.680541700028294	1000.0	4999.0	4999.0
7499	0.08424131868183603	9.397587916301216e-05	0.3681317900318514	0.050951389740407554	0.025905162389576415	-3.2218312516297965e-05	3.2796124307759584e-05	0.8817874553203573	28.3	3.8801704832874337	1000.0	7499.0	7499.0
9999	0.08266772013902662	9.747880833436258e-05	0.42965033409949077	0.0371192868418991	0.025275373326241978	-3.537299923824405e-05	3.900984900454462e-05	0.8367960079193126	13.9	3.709625260694718	1000.0	9999.0	9999.0
12499	0.08165749013125911	0.00011115829893765139	0.48077290373428	0.024784347125142835	0.024072543756663848	-3.7299756025568365e-05	4.066592462534829e-05	0.7948696114540099	34.2	6.774244096877463	1000.0	9999.0	12499.0
14999	0.08072371242046333	0.00013455521341433944	0.504223089258271	0.01579821846745906	0.024055112206935837	-4.1604182316405e-05	4.2459212964689626e-05	0.7556534450769418	14.1	4.98129436839398	1000.0	9999.0	14999.0
17499	0.08021969434022916	0.00016003458002557624	0.536899434225479	0.008996709596685864	0.023504793169349406	-4.708684223320998e-05	4.363341509119747e-05	0.7200941676378269	51.3	6.124519053522458	1000.0	9999.0	17499.0
19999	0.07986474432796253	0.00018142509213408715	0.5587170529839641	0.004153421570508721	0.02295220404863354	-5.295652773533568e-05	4.412472496795211e-05	0.686945900440215	43.4	3.193121919698353	1000.0	9999.0	19999.0
22499	0.07943215089440366	0.00020261234024122128	0.5763959872742076	0.0012370159163463538	0.02270107858479021	-5.7095285689138146e-05	4.2880536821138536e-05	0.6562785617351521	11.4	6.53728293980736	1000.0	22499.0	22499.0
24999	0.07904761860072612	0.000215802003352081	0.578541963945653	-0.00012424977386108366	0.02242330724596976	-6.767136390584221e-05	4.533589526530151e-05	0.6280736179113385	38.6	10.082733438954795	1000.0	22499.0	24999.0
27499	0.07876097969561818	0.00022813318851249808	0.5823359417678506	-0.0009453239444977938	0.021974753214418854	-7.321910170523452e-05	4.4236070730256987e-05	0.6016834587097166	47.2	10.965484737505905	1000.0	22499.0	27499.0
29999	0.07857188015729173	0.0002418940026584613	0.5844598361167823	-0.0007774405514144747	0.022239256835728922	-8.119417366308423e-05	4.469391901727138e-05	0.57748962507248	28.0	2.5830647053722027	1000.0	22499.0	29999.0
32499	0.07842191218137758	0.00024629950422841196	0.5816367480383918	-0.00025749390541459434	0.022117953559756317	-8.702899077011342e-05	4.3730059670360805e-05	0.5551032417774192	41.8	9.009958249528811	1000.0	22499.0	32499.0
34999	0.07806232261359695	0.00025354717284668577	0.5850022313455165	0.00019229876684257765	0.021811024736613026	-9.567837907147798e-05	4.423694186895085e-05	0.534340423297881	16.4	3.1562686335011514	1000.0	22499.0	34999.0
37499	0.0779013539358974	0.00025594902749876677	0.5768580371135463	0.0005716735247668106	0.021675663216412094	-0.0001033533493485436	4.411373765969134e-05	0.5149331069707865	28.3	5.384194585903611	1000.0	22499.0	37499.0
39999	0.07755498492121699	0.00026589187982593984	0.5662042894754143	0.0010609807872569964	0.02164762847274544	-0.0001112049349871199	4.4038825024571854e-05	0.49681598850488673	9.4	6.200385338685354	1000.0	39999.0	39999.0
42499	0.07753938139826053	0.0002671771151269194	0.5654491669764664	0.0015640359403230814	0.02172429055795075	-0.0001226821135055785	4.541597104756498e-05	0.47994338431358347	71.1	11.163870527094463	1000.0	39999.0	42499.0
44999	0.07729538090527073	0.00027260177474676135	0.5601837805808514	0.0017805681342726559	0.021621076432615575	-0.00012373702499602775	4.305021588236152e-05	0.46418351569175786	30.4	6.2039969232494085	1000.0	39999.0	44999.0
