Steps	loss/chi_loss	loss/tau_loss	loss/D_kl	loss/Df	loss/td_error	loss/nu_loss	loss/lmbda_loss	loss/actor_loss	loss/tau	loss/lmbda	eval/Cost	eval/Reward	eval/Length	train/best_idx	update/env_step
2499	0.007459670150953269	0.011707225145213326	0.00043308689302869034	0.050371574339096725	0.10572684571994982	-0.030535951196943533	2.441584225368494	0.6964284957981548	1.2238663931369804	1.224826063251497	41.8	5.267081753246578	1000.0	2499.0	2499.0
4999	0.009826280668553615	0.00993952851500362	0.0006131424373899722	0.04453419027573366	0.07879455150358601	-0.029788734838907316	2.107373805665966	0.35961132942144736	1.0582835837602635	1.0587022277116767	32.9	4.605163928940812	1000.0	4999.0	4999.0
7499	0.013836558094038469	0.00792743102572859	0.0013047971616346593	0.03934745820168471	0.05883041605391018	-0.029093973782746207	1.8031678542613983	0.27893142706952884	0.9102895605802533	0.9077594998836511	29.6	3.1673297946455845	1000.0	7499.0	7499.0
9999	0.019519347521166255	0.005493031999468804	0.0030063525578315617	0.034465009457584565	0.043923085829152726	-0.027971900455526093	1.5285630147933948	0.24771659373219362	0.7820131234169009	0.7717393873691555	48.1	5.237569473498314	1000.0	7499.0	9999.0
12499	0.027478593220185577	0.002335421865330319	0.00662626282732658	0.029316631448903348	0.032425473750673464	-0.026329685810025028	1.2836367580413839	0.22493939907908425	0.6833621795892713	0.6507051724672306	26.1	4.982640046199974	1000.0	12499.0	12499.0
14999	0.0368147915753498	-0.0006407476990152653	0.010946346377303266	0.026145056279399257	0.025953088314648286	-0.025683444739259664	1.0688811145305657	0.21078544760367368	0.6651376756429668	0.5444252936124804	25.4	4.386118435398763	1000.0	14999.0	14999.0
17499	0.0450581312652208	-0.0019504975262275806	0.012579754625410163	0.022731721526049044	0.021194870827672463	-0.023438089615280964	0.8841809757709496	0.20086257789884032	0.7503624788284304	0.45225003846883693	37.9	8.136771902397749	1000.0	14999.0	17499.0
19999	0.05396539249821891	-0.0034824674787501853	0.014202048026299445	0.020132492077055354	0.017858033211241398	-0.02184389603305252	0.7264541494369514	0.19227880661258295	0.8269258494853982	0.3732812594413747	40.9	10.582554428742394	1000.0	14999.0	19999.0
22499	0.06458382324170962	-0.006283651594714764	0.01664422918584829	0.018508707363559553	0.01615927170572796	-0.02099289587067462	0.5930187876582154	0.18618723722661382	0.9363723631620404	0.30636875917911577	57.7	11.09042265279211	1000.0	14999.0	22499.0
24999	0.07562334114020876	-0.009914927176103093	0.02014125394177948	0.018363338642239817	0.015763771593435075	-0.019146222313658475	0.4817007292509084	0.18313846722759403	0.976233292460441	0.2503162202835083	35.6	6.9858068929156225	1000.0	14999.0	24999.0
