Steps	loss/chi_loss	loss/tau_loss	loss/D_kl	loss/Df	loss/td_error	loss/nu_loss	loss/lmbda_loss	loss/actor_loss	loss/tau	loss/lmbda	eval/Cost	eval/Reward	eval/Length	train/best_idx	update/env_step
2499	0.007417277802802981	0.011675529044866564	0.0004583837680229219	0.050015525346659276	0.10508365873383751	-0.030487796215121682	2.4416586133003206	0.6974601066369059	1.2238620492935184	1.2248283536434177	24.9	-0.31492518181023976	1000.0	2499.0	2499.0
4999	0.009824003984543233	0.009944106082804504	0.000606736980262549	0.04498855982404303	0.07963753101513663	-0.03021739335740064	2.1073993615627296	0.3572131525556409	1.0581070116996774	1.058706189656257	21.0	3.1851393325169366	1000.0	4999.0	4999.0
7499	0.013686672315416667	0.0079462226672098	0.0012812491535652067	0.0401468865536451	0.06000747579948983	-0.029475430146303588	1.8033307880878444	0.28339339945503544	0.9099915463924397	0.9077614727735529	41.9	1.418912581688501	1000.0	4999.0	7499.0
9999	0.01920369867686008	0.005539585516788065	0.0029420096323750466	0.03525441559323322	0.045231158853418794	-0.02833536431119235	1.528813225078582	0.251530036178765	0.7815283481121055	0.7717369260072703	26.5	5.7832877159890055	1000.0	4999.0	9999.0
12499	0.027117487112302694	0.002410238389307046	0.006510407643617685	0.03161615000601428	0.03592682821542972	-0.027027940667931412	1.2838810689449311	0.22792620190336538	0.6822753306865721	0.6507016059398649	19.7	5.982988510062832	1000.0	12499.0	12499.0
14999	0.03653278344161194	-0.0006138887472997229	0.010911385146743505	0.02627550690048721	0.026860648985290614	-0.024560357108066352	1.0690295504808438	0.21723675078188123	0.6616571410655956	0.5444209568381302	24.5	5.095203030384333	1000.0	12499.0	14999.0
17499	0.045001161027439306	-0.0017554633354788167	0.01232382149459362	0.021634964114645164	0.020372091552477663	-0.022545820346934635	0.8841906794071185	0.20389104890337315	0.7543444616794582	0.4522533754229546	18.3	2.3846275496270413	1000.0	17499.0	17499.0
19999	0.05266890425399269	-0.0022411461662698025	0.012561743517627061	0.018563691864226604	0.016969889050981127	-0.020740647078399482	0.7268975274801266	0.20010528348569384	0.8736615189075448	0.373267781209945	14.4	6.663525634625908	1000.0	19999.0	19999.0
22499	0.060309526716509944	-0.002533235946500273	0.012531765519387592	0.016048524987906734	0.01428467837031574	-0.01895080802775897	0.5942061787366852	0.19053444297453886	1.0013847954273218	0.30634094111919447	29.5	5.4796299804281885	1000.0	19999.0	22499.0
24999	0.06636272898310333	-0.0024569405232463377	0.012182347255170334	0.015106011386499764	0.013909350170878926	-0.0175395684764981	0.48372532044649186	0.18258118495450473	1.1271296308040615	0.25017121530771297	21.8	5.825583838508651	1000.0	19999.0	24999.0
