Steps	loss/loss_vae	loss/critic_loss	loss/cost_critic_loss	loss/alpha_value	loss/actor_loss	eval/Cost	eval/Reward	eval/Length	train/best_idx	update/env_step
2499	0.10126780555248262	0.0005334330258039855	5.414210933503784	1.8130434198379513	-0.050216684026690224	6.6	-29.31817808485795	1000.0	2499.0	2499.0
4999	0.08715394071340567	0.0001745734309549818	276.17333295205896	99.25160011167536	-0.04107694196552038	84.4	-15.125958410790634	1000.0	2499.0	4999.0
7499	0.08434128545820699	0.00015564280246864126	399.025681218157	148.4131622314453	-0.033529023181647105	198.7	0.04672455765600392	1000.0	2499.0	7499.0
9999	0.08257188509404663	0.00015138091731288028	381.9245091227004	148.4131622314453	-0.029360937390476446	379.0	5.678080852059291	1000.0	2499.0	9999.0
12499	0.0817416481643917	0.00013843193120624891	374.77848499664736	148.4131622314453	-0.027328830529004283	297.7	8.32541993222625	1000.0	2499.0	12499.0
14999	0.08071147931218155	0.0001270105926836029	382.94976511360585	148.4131622314453	-0.02664587013795971	208.9	9.764292280564057	1000.0	2499.0	14999.0
17499	0.08015824927985697	0.00011874311044783824	402.02019597325415	148.4131622314453	-0.028835264098644245	164.9	8.42592049993356	1000.0	2499.0	17499.0
19999	0.07980334832370273	0.000120486100846988	419.7217570718435	148.4131622314453	-0.03191884561702606	127.8	10.594595451236154	1000.0	2499.0	19999.0
22499	0.07946019358634955	0.00011981633044913754	421.18447914189113	148.4131622314453	-0.03336496854126446	187.5	12.660181360555116	1000.0	2499.0	22499.0
24999	0.07911575633883466	0.00012175389083679844	421.8852997669784	148.4131622314453	-0.03338227115049952	188.2	10.011969999355047	1000.0	2499.0	24999.0
27499	0.07869088587909938	0.00012202874179355543	409.56642232775295	148.4131622314453	-0.03357836056649687	210.7	17.357254707609762	1000.0	2499.0	27499.0
29999	0.0783412045732138	0.00012484783045560978	418.8499340017482	148.4131622314453	-0.03550540576651692	182.3	14.387686145089797	1000.0	2499.0	29999.0
32499	0.07823513843268162	0.00012786918406121637	423.12665166372364	148.4131622314453	-0.03898137969374658	185.9	20.611029053305153	1000.0	2499.0	32499.0
34999	0.07814060179740186	0.00013068002393840054	439.3535249719975	148.4131622314453	-0.04423761754631995	122.1	17.329985915733975	1000.0	2499.0	34999.0
37499	0.0779194733679295	0.0001393447620218687	457.8743612349862	148.4131622314453	-0.05208885738849634	189.1	20.639134599081224	1000.0	2499.0	37499.0
39999	0.07757638077139846	0.0001451582764471858	486.834366678402	148.4131622314453	-0.059608218690753015	266.4	20.687443938256827	1000.0	2499.0	39999.0
42499	0.07755166461914785	0.00014899998129472901	498.3662259175462	148.4131622314453	-0.06614208994507792	234.0	20.537440374981706	1000.0	2499.0	42499.0
44999	0.07724398789256831	0.00015433472253228162	504.7970258732861	148.4131622314453	-0.06992237746119503	259.9	19.299479745096505	1000.0	2499.0	44999.0
47499	0.07711323903203024	0.00015148119875636106	504.7996741171325	148.4131622314453	-0.07078290223032224	178.9	13.492426306382933	1000.0	2499.0	47499.0
49999	0.07712257011979833	0.00015451005744404798	484.10075147205384	148.4131622314453	-0.07053206543326378	175.0	18.787148830161062	1000.0	2499.0	49999.0
52499	0.07704971543848504	0.00016017207298030982	487.9718543793917	148.4131622314453	-0.06985845819711699	247.7	20.926527137083333	1000.0	2499.0	52499.0
54999	0.07682676395475861	0.00015547588780265601	521.9962784410208	148.4131622314453	-0.06992127114236346	257.8	18.41068593956575	1000.0	2499.0	54999.0
57499	0.07676718552559605	0.0001562481054751239	544.6602065088902	148.4131622314453	-0.07023020839095126	245.6	17.892304548375478	1000.0	2499.0	57499.0
59999	0.07662115707248454	0.00015443123422769972	522.811812645361	148.4131622314453	-0.07020520363450042	233.7	15.06910633293629	1000.0	2499.0	59999.0
62499	0.076688922701776	0.00015520531346095424	522.5133809669331	148.4131622314453	-0.06939652930051096	219.9	9.435734142461289	1000.0	2499.0	62499.0
64999	0.07630321087241182	0.00015284506255413066	514.1451800929169	148.4131622314453	-0.06836964810490595	199.5	15.82937911616131	1000.0	2499.0	64999.0
67499	0.0761702350169421	0.0001443647233566251	502.0726398858554	148.4131622314453	-0.06722708908170434	194.8	12.835187207246447	1000.0	2499.0	67499.0
69999	0.07616631767898821	0.00014615354275697976	505.9480283886789	148.4131622314453	-0.06598712497651568	227.8	17.740244808477403	1000.0	2499.0	69999.0
72499	0.07616713729798791	0.00014492187477056418	502.99664014214545	148.4131622314453	-0.06519567510187636	170.4	15.327559579288362	1000.0	2499.0	72499.0
74999	0.07624228544682252	0.00014358977821605912	499.2385997817616	148.4131622314453	-0.0643080533370377	278.3	20.5435810777674	1000.0	2499.0	74999.0
77499	0.07583914078921075	0.00014235884068225182	491.2528526786169	148.4131622314453	-0.06354941858649255	167.5	16.58941069271781	1000.0	2499.0	77499.0
79999	0.07579970079511418	0.00014290339097525702	490.194916992381	148.4131622314453	-0.06354604210257558	166.6	16.731459975952056	1000.0	2499.0	79999.0
82499	0.07583520094752301	0.00014447564470943487	495.07199725513755	148.4131622314453	-0.06372544203251594	108.0	19.713637559506534	1000.0	2499.0	82499.0
84999	0.07568684407919629	0.00014156798341973296	499.22317507125524	148.4131622314453	-0.06386028963178393	99.5	20.621324945619897	1000.0	2499.0	84999.0
87499	0.07575529585480681	0.00014391283011780173	513.290141519132	148.4131622314453	-0.06344298921078434	202.0	16.942236609804866	1000.0	2499.0	87499.0
89999	0.07547166914492846	0.00014019718417637988	516.8671828469915	148.4131622314453	-0.06310418168157314	168.9	16.264113664489514	1000.0	2499.0	89999.0
92499	0.0755768378823997	0.00014018312186593599	520.2238261937092	148.4131622314453	-0.06279710256159288	152.5	20.186647867307645	1000.0	2499.0	92499.0
94999	0.07544270422756663	0.00014009448628604854	546.922117576661	148.4131622314453	-0.062268801757693275	206.8	18.886577582692173	1000.0	2499.0	94999.0
97499	0.07543819375187164	0.00013520982513389175	560.891284938527	148.4131622314453	-0.06232094642519955	146.3	17.04477027114247	1000.0	2499.0	97499.0
99999	0.07522198956459755	0.00013755847474507054	580.645810785428	148.4131622314453	-0.06255799058377728	197.1	16.889907642995382	1000.0	2499.0	99999.0
