Steps	loss/actor_loss	eval/Cost	eval/Reward	eval/Length	train/best_idx	update/env_step
2499	0.08124183112084869	350.0	138.3903998260483	1000.0	2499.0	2499.0
4999	0.06730034074932335	408.2	188.29897947634933	1000.0	2499.0	4999.0
7499	0.06418154428452254	174.7	106.26027039408302	1000.0	7499.0	7499.0
9999	0.062316980664431997	158.5	103.64034803057079	1000.0	9999.0	9999.0
12499	0.06085432256162165	84.1	126.7404962236327	1000.0	12499.0	12499.0
14999	0.05965795463770632	254.9	102.14324072002482	1000.0	12499.0	14999.0
17499	0.05886298091858633	130.6	104.41580960192296	1000.0	12499.0	17499.0
19999	0.0579527340054513	122.1	127.82897653934606	1000.0	12499.0	19999.0
22499	0.05731781444549556	128.0	119.20282380686952	1000.0	12499.0	22499.0
24999	0.05677420207709068	74.9	101.32323577456549	1000.0	24999.0	24999.0
27499	0.056361892910301706	88.8	113.2510633694894	1000.0	24999.0	27499.0
29999	0.055844261719286414	78.3	104.02063719604237	1000.0	24999.0	29999.0
32499	0.05533503439575433	33.2	78.5798837871516	1000.0	32499.0	32499.0
34999	0.0546988160222769	86.8	120.46760780428488	1000.0	32499.0	34999.0
37499	0.05490101010501392	99.5	99.36044639950686	1000.0	32499.0	37499.0
39999	0.05429597759693855	223.0	174.5928320964691	1000.0	32499.0	39999.0
42499	0.053937567332386964	58.7	104.08305661023982	1000.0	32499.0	42499.0
44999	0.054010351151227966	82.0	132.75199371483703	1000.0	32499.0	44999.0
47499	0.05363634838759903	67.1	103.03191641542807	1000.0	32499.0	47499.0
49999	0.05351601250618702	244.6	153.2628302946871	1000.0	32499.0	49999.0
52499	0.05321334220170977	10.0	83.65078097413331	1000.0	52499.0	52499.0
54999	0.05323865227550268	130.2	166.05092399553604	1000.0	52499.0	54999.0
57499	0.05292230244725937	64.9	56.381325571722094	1000.0	52499.0	57499.0
59999	0.05290724185705181	127.8	146.87201392641282	1000.0	52499.0	59999.0
62499	0.052685362161696066	75.0	123.61407718756023	1000.0	52499.0	62499.0
64999	0.05261370197683578	333.2	171.09497880632858	1000.0	52499.0	64999.0
67499	0.05252762561738496	43.6	97.40560182208232	1000.0	52499.0	67499.0
69999	0.052165319560468194	82.5	128.15152784146787	1000.0	52499.0	69999.0
72499	0.0522528021857142	137.8	121.74716820573622	1000.0	52499.0	72499.0
74999	0.05222333122193812	26.1	116.59152686400503	1000.0	52499.0	74999.0
77499	0.05212161268442868	10.6	86.99465264603398	1000.0	52499.0	77499.0
79999	0.05177276592701673	76.1	51.594259583658314	1000.0	52499.0	79999.0
82499	0.051887014375627066	126.3	136.968732738214	1000.0	52499.0	82499.0
84999	0.051810685074329434	111.8	158.2389373644244	1000.0	52499.0	84999.0
87499	0.05178173530846838	82.3	95.03515976328538	1000.0	52499.0	87499.0
89999	0.051523412394523536	47.8	83.23837532833531	1000.0	52499.0	89999.0
92499	0.05118852045983085	75.1	113.44224146223522	1000.0	52499.0	92499.0
94999	0.05142727533876897	93.7	118.1025460313961	1000.0	52499.0	94999.0
97499	0.05131669612526886	58.3	142.42684492442874	1000.0	52499.0	97499.0
99999	0.05120154368430376	10.4	42.72200837201972	1000.0	52499.0	99999.0
