Steps	loss/actor_loss	eval/Cost	eval/Reward	eval/Length	train/best_idx	update/env_step
2499	0.08149148889482019	316.0	153.28260291005557	1000.0	2499.0	2499.0
4999	0.0668080122798683	299.9	167.0703010083909	1000.0	4999.0	4999.0
7499	0.06362227274477497	267.0	152.06248755896473	1000.0	7499.0	7499.0
9999	0.06191231496781111	207.8	133.19209686229388	1000.0	9999.0	9999.0
12499	0.060463467676937624	150.0	128.93123441872243	1000.0	12499.0	12499.0
14999	0.05947048572748895	70.5	112.80661132364492	1000.0	14999.0	14999.0
17499	0.05820737245678904	307.8	200.65541570136622	1000.0	14999.0	17499.0
19999	0.057493835242092686	79.6	94.6110183279664	1000.0	14999.0	19999.0
22499	0.05704496856182815	51.2	122.58694418070961	1000.0	22499.0	22499.0
24999	0.056561665233969695	249.6	163.89275003129688	1000.0	22499.0	24999.0
27499	0.05585255542248489	282.9	146.6434632892081	1000.0	22499.0	27499.0
29999	0.055479818078875504	100.0	115.72690187992336	1000.0	22499.0	29999.0
32499	0.05494271399527798	149.2	159.9468018150253	1000.0	22499.0	32499.0
34999	0.054435046339034926	198.7	176.0834353716779	1000.0	22499.0	34999.0
37499	0.054567518027126706	25.1	90.63653774544483	1000.0	37499.0	37499.0
39999	0.05409180162549026	128.1	94.10761005344479	1000.0	37499.0	39999.0
42499	0.05390225421488285	107.8	157.8618299128559	1000.0	37499.0	42499.0
44999	0.05359737256914376	122.9	123.59200853407647	1000.0	37499.0	44999.0
47499	0.05355612295567995	188.2	187.6556091307284	1000.0	37499.0	47499.0
49999	0.05342006949037315	328.6	201.69194009485634	1000.0	37499.0	49999.0
52499	0.053160690855979874	115.3	141.1398671266307	1000.0	37499.0	52499.0
54999	0.05280108863264315	5.2	84.72477116493295	1000.0	54999.0	54999.0
57499	0.05295303799808027	113.9	141.30799085222202	1000.0	54999.0	57499.0
59999	0.05283997071832408	116.5	125.36928152370801	1000.0	54999.0	59999.0
62499	0.052628489094972676	88.0	125.21527881602772	1000.0	54999.0	62499.0
64999	0.05226289166659112	87.8	118.21849430557572	1000.0	54999.0	64999.0
67499	0.05229826526492826	45.5	88.0410636536161	1000.0	54999.0	67499.0
69999	0.052036898168921535	93.1	143.60841988963676	1000.0	54999.0	69999.0
72499	0.051842237289249866	165.6	139.0412119015238	1000.0	54999.0	72499.0
74999	0.05186281789243214	72.3	124.82636839209098	1000.0	54999.0	74999.0
77499	0.05171892947703608	46.3	103.77364701469496	1000.0	54999.0	77499.0
79999	0.05160400932878248	81.5	120.22369360064071	1000.0	54999.0	79999.0
82499	0.05163026237189779	161.5	132.8782437735728	1000.0	54999.0	82499.0
84999	0.05140529199242588	81.6	120.4610154070079	1000.0	54999.0	84999.0
87499	0.05144505897760398	55.4	105.13885343075647	1000.0	54999.0	87499.0
89999	0.05128486563116309	154.3	167.22521407264352	1000.0	54999.0	89999.0
92499	0.05132234607189903	3.0	108.01894571819332	1000.0	92499.0	92499.0
94999	0.05125657754838463	67.7	104.57573255182903	1000.0	92499.0	94999.0
97499	0.050965308336168684	12.6	99.61869117536266	1000.0	92499.0	97499.0
99999	0.05101376525908703	116.3	123.11660921714592	1000.0	92499.0	99999.0
