Steps	loss/actor_loss	eval/Cost	eval/Reward	eval/Length	train/best_idx	update/env_step
2499	0.03453632581233976	46.4	110.15005420450719	1000.0	2499.0	2499.0
4999	0.026697881419956698	84.1	91.70912540883437	1000.0	2499.0	4999.0
7499	0.02528035027757286	99.8	101.0474578785686	1000.0	2499.0	7499.0
9999	0.024535380270332124	31.5	92.76402416923483	1000.0	9999.0	9999.0
12499	0.02404669190719723	17.6	106.83332078858705	1000.0	12499.0	12499.0
14999	0.02372724203392863	11.5	124.20320237370679	1000.0	14999.0	14999.0
17499	0.02333809067159888	8.9	127.0055919886385	1000.0	17499.0	17499.0
19999	0.02307540285214778	167.3	130.30499266700815	1000.0	17499.0	19999.0
22499	0.022802456147223663	17.6	102.4830324742999	1000.0	17499.0	22499.0
24999	0.022680460782349133	11.8	124.80967952601752	1000.0	17499.0	24999.0
27499	0.022484799993038176	5.1	87.73809781205043	1000.0	27499.0	27499.0
29999	0.02223263703212144	186.2	133.24847974539236	1000.0	27499.0	29999.0
32499	0.02215274681821466	12.2	124.06413658381723	1000.0	27499.0	32499.0
34999	0.02204854235127564	197.6	136.78564176757493	1000.0	27499.0	34999.0
37499	0.021826452549174407	12.0	103.87134319770989	1000.0	27499.0	37499.0
39999	0.021808031170815187	3.5	100.93418722882862	1000.0	39999.0	39999.0
42499	0.021678595557436318	34.0	117.1808884379088	1000.0	39999.0	42499.0
44999	0.02152492334619166	8.7	113.95209673568111	1000.0	39999.0	44999.0
47499	0.021485979863256212	7.5	97.4252344569585	1000.0	39999.0	47499.0
49999	0.021279948663339043	40.0	106.70140228567584	1000.0	39999.0	49999.0
52499	0.02129998051896698	22.6	112.08399435504327	1000.0	39999.0	52499.0
54999	0.021156673944741466	146.8	150.9429181420191	1000.0	39999.0	54999.0
57499	0.021104264974221562	110.0	113.15052728663952	1000.0	39999.0	57499.0
59999	0.02107705507129434	23.4	122.5348117128138	1000.0	39999.0	59999.0
62499	0.020993171340599664	11.2	111.87003767710382	1000.0	39999.0	62499.0
64999	0.020932661798596354	74.5	126.40154923532297	1000.0	39999.0	64999.0
67499	0.020806903781741867	4.9	136.83365757736587	1000.0	39999.0	67499.0
69999	0.02081012890152635	27.2	106.6363789023637	1000.0	39999.0	69999.0
72499	0.02081293089352548	1.5	118.92747990321593	1000.0	72499.0	72499.0
74999	0.020601550761982793	92.3	113.78528420207984	1000.0	72499.0	74999.0
77499	0.020624594436585885	11.4	113.49539411382202	1000.0	72499.0	77499.0
79999	0.02052974033690987	9.1	119.25979729861115	1000.0	72499.0	79999.0
82499	0.020507259941473663	1.5	117.62871072395367	1000.0	72499.0	82499.0
84999	0.020413810183480395	25.5	106.450433248185	1000.0	72499.0	84999.0
87499	0.02043850967958569	52.3	115.88237374007046	1000.0	72499.0	87499.0
89999	0.020421956619620336	0.2	116.7559619868279	1000.0	89999.0	89999.0
92499	0.02037461698763063	4.6	121.49915286127589	1000.0	89999.0	92499.0
94999	0.020343131253868312	4.4	101.65310392544397	1000.0	89999.0	94999.0
97499	0.020248486506193947	8.7	100.87661232778007	1000.0	89999.0	97499.0
99999	0.020261522477120136	3.7	123.03831144643391	1000.0	89999.0	99999.0
