Steps	loss/actor_loss	eval/Cost	eval/Reward	eval/Length	train/best_idx	update/env_step
2499	0.036175691884011055	109.4	90.62003240659257	1000.0	2499.0	2499.0
4999	0.027177629318833326	97.5	91.02768755569181	1000.0	4999.0	4999.0
7499	0.025718191683292382	7.2	111.2933093555667	1000.0	7499.0	7499.0
9999	0.024923684129118922	5.1	108.66250844942763	1000.0	9999.0	9999.0
12499	0.0242305956952274	102.9	105.69625479671151	1000.0	9999.0	12499.0
14999	0.02370732958950103	35.6	104.83738537901313	1000.0	9999.0	14999.0
17499	0.023406705012172447	12.4	128.63243890589592	1000.0	9999.0	17499.0
19999	0.023105849215388292	30.7	114.67995830385841	1000.0	9999.0	19999.0
22499	0.02289240814372897	30.3	104.1913721559653	1000.0	9999.0	22499.0
24999	0.022661319786310193	13.8	111.38385667013327	1000.0	9999.0	24999.0
27499	0.02250412053465842	193.4	145.98689995299222	1000.0	9999.0	27499.0
29999	0.02241169495806094	70.6	130.95618841602754	1000.0	9999.0	29999.0
32499	0.02226935903951532	53.6	106.91390135126531	1000.0	9999.0	32499.0
34999	0.022156412354111716	29.2	96.98487047252723	1000.0	9999.0	34999.0
37499	0.021971230936050426	2.3	123.37248868663319	1000.0	37499.0	37499.0
39999	0.021947855421900742	224.3	142.02703831067623	1000.0	37499.0	39999.0
42499	0.021842765139788372	1.4	124.22647768003681	1000.0	42499.0	42499.0
44999	0.021756146128475703	1.9	134.55792777914257	1000.0	42499.0	44999.0
47499	0.021586134365946055	27.1	105.90600027965525	1000.0	42499.0	47499.0
49999	0.02154094700925053	11.3	117.91766760652168	1000.0	42499.0	49999.0
52499	0.0214721238963306	67.5	112.98690683698587	1000.0	42499.0	52499.0
54999	0.02136115354001528	79.8	140.71549763673528	1000.0	42499.0	54999.0
57499	0.021334980793669786	37.6	124.96109876871796	1000.0	42499.0	57499.0
59999	0.021250758283212764	151.3	112.5815188744635	1000.0	42499.0	59999.0
62499	0.021275582582876058	0.4	115.7749020655895	1000.0	62499.0	62499.0
64999	0.021067936429381436	6.5	133.2612013722725	1000.0	62499.0	64999.0
67499	0.020994141667336153	7.1	114.96052451560881	1000.0	62499.0	67499.0
69999	0.02102834330536423	7.2	120.6194861565502	1000.0	62499.0	69999.0
72499	0.02095962130129334	2.2	130.29259878729036	1000.0	62499.0	72499.0
74999	0.02086745862253009	7.9	100.26829465526713	1000.0	62499.0	74999.0
77499	0.020809335970878605	21.2	135.42927310929707	1000.0	62499.0	77499.0
79999	0.02083318148106341	4.3	111.30620549211599	1000.0	62499.0	79999.0
82499	0.020753818053379617	14.1	91.99611984361178	1000.0	62499.0	82499.0
84999	0.020652885137125838	4.0	105.07244896375485	1000.0	62499.0	84999.0
87499	0.020634652497991894	14.7	103.00588437843814	1000.0	62499.0	87499.0
89999	0.02061454456821088	2.6	135.5868823516934	1000.0	62499.0	89999.0
92499	0.020507119793072376	15.2	114.29856057059229	1000.0	62499.0	92499.0
94999	0.020544677698984718	13.2	117.1640403835751	1000.0	62499.0	94999.0
97499	0.020489069719240038	7.4	117.91267905221154	1000.0	62499.0	97499.0
99999	0.02041683225408192	5.0	108.93035243155575	1000.0	62499.0	99999.0
