Steps	loss/loss_vae	loss/critic_loss	loss/cost_critic_loss	loss/actor_loss	loss/mmd_loss	loss/qc_penalty	loss/lagrangian	loss/alpha_value	eval/Cost	eval/Reward	eval/Length	train/best_idx	update/env_step
2499	0.08481540955603108	0.0018148573224016698	0.21690471822151464	-0.07077514145406756	0.03446189951002592	0.00024072416959038508	0.002306477512013591	0.979425941133499	25.3	22.284978609669807	1000.0	2499.0	2499.0
4999	0.06528319391161201	0.004416820320507313	0.4582767639602322	-0.2643735112667085	0.030051330570131478	0.0021150130760972364	0.07755931107252848	0.9405590626478187	86.3	106.28596363055917	1000.0	2499.0	4999.0
7499	0.06067549509853132	0.016484441036535076	1.4516665078864528	-0.4046539963841442	0.03602672248408204	0.002262565417657607	0.08645403456389912	0.9025464759588251	37.1	43.7565022251629	1000.0	2499.0	7499.0
9999	0.05848357444554567	0.022340934265786015	0.8007417060820612	-0.7169889176964762	0.05200753029361363	0.0036089468227932416	0.1191514435812831	0.8917610260009758	6.1	35.437465916088485	1000.0	9999.0	9999.0
12499	0.05689695799648772	0.02444147659117184	0.5537809013296148	-0.9413009956836688	0.03601815012097359	0.0021086093241814517	0.0811694861471651	0.8823924823999416	156.0	107.98966644000909	1000.0	9999.0	12499.0
14999	0.05561626519709826	0.021007407852612802	0.5219223057862811	-0.9726386186361314	0.029298208126425727	0.00206474816738046	0.041159745487198154	0.8484068059682844	321.9	166.48283355559073	1000.0	9999.0	14999.0
17499	0.05472930832803249	0.016556857169904283	0.49734825709557456	-0.9598274797439569	0.02568848148807885	0.0019408820378058066	0.019161127376247512	0.8098443793773632	357.1	171.3157770549779	1000.0	9999.0	17499.0
19999	0.053863023014366636	0.013509565131072649	0.5496280861238738	-0.9426747330904	0.026753217180073275	0.0021100088533991747	0.0219598377330811	0.772023199653626	342.7	170.3137430228091	1000.0	9999.0	19999.0
22499	0.053158916567266075	0.011376585076805291	0.7059677413913725	-0.9288255681514724	0.02464035952761771	0.002395033483020725	0.015608557859630853	0.7374258797407146	400.8	197.82202148100086	1000.0	9999.0	22499.0
24999	0.052384429112076684	0.012626106407005582	1.2049204061736638	-0.9245244395971314	0.026186213900148848	0.003776536829374522	0.025224174760183092	0.7056457524299624	99.3	82.08809257037366	1000.0	9999.0	24999.0
27499	0.05213724322319029	0.012255659505372782	1.222255646933283	-0.9245560052633296	0.02582710509076712	0.00550156265080476	0.028311765326728362	0.6767402245283124	51.2	50.16332502002115	1000.0	9999.0	27499.0
