Steps	loss/chi_loss	loss/tau_loss	loss/D_kl	loss/Df	loss/td_error	loss/nu_loss	loss/lmbda_loss	loss/actor_loss	loss/tau	loss/lmbda	eval/Cost	eval/Reward	eval/Length	train/best_idx	update/env_step
2499	0.019798648568899627	0.010020543931557041	0.0018771386354626259	0.06633147569392134	0.12347811814455445	-0.05710004440330326	2.425589205837254	0.40196727236982954	1.2282609966278057	1.2249329507350954	53.4	45.8345511865927	1000.0	2499.0	2499.0
4999	0.05097666928151987	0.0006633326902770938	0.009442143952249519	0.07013953639542388	0.1957977314113286	-0.07231768159272649	2.066891334342962	0.10743406787645175	1.1256547933101642	1.0593734584569936	34.7	78.19058619139253	1000.0	4999.0	4999.0
7499	0.08375901877209083	-0.010616817079259268	0.019404605210090624	0.06950948656972117	0.24321641206409478	-0.07236299786378535	1.7442553799867617	0.035320976747440475	1.1284792958736412	0.9092528204917929	177.0	104.09424648074567	1000.0	4999.0	7499.0
9999	0.11145891503607651	-0.01895252360668668	0.026349099725860067	0.06577890582498007	0.2442785609195046	-0.06931616206683801	1.4628771435618393	-0.007610649165293821	1.15999198102951	0.7738536342859293	80.5	141.22918107485	1000.0	4999.0	9999.0
12499	0.12594870182477974	-0.020731760048645093	0.02715285201496141	0.057235028284266715	0.20995097842047375	-0.06307753611064759	1.2251982029616835	-0.040007469493180965	1.2074416705131537	0.6529193173170107	180.4	149.85595605510272	1000.0	4999.0	12499.0
14999	0.13179442326242896	-0.016845364415913347	0.023455886124767452	0.05014448551958559	0.18511771459145956	-0.05430910599590783	1.022223961138728	-0.06186503509852486	1.2513996197223671	0.5464395271658883	205.7	157.6300530707902	1000.0	4999.0	14999.0
17499	0.1535793929100092	-0.022173142255458498	0.027247571869368315	0.04602531456043606	0.17130624426987753	-0.0493671477301085	0.8433620011925691	-0.07976497895696288	1.2869553561210623	0.4540901242971419	373.4	155.80814795401304	1000.0	4999.0	17499.0
19999	0.15275996423940555	-0.01443427776094321	0.02098268943258854	0.04098309226637351	0.13999316441942106	-0.043326285714861294	0.6955027499794957	-0.09184373257139702	1.3149116031169874	0.3748423861980441	341.4	156.43124330612054	1000.0	4999.0	19999.0
22499	0.1575297275515694	-0.010930993438966117	0.018046657193496882	0.046178155846143217	0.15850548494596675	-0.043893400708483056	0.5684444622993453	-0.10761838287554745	1.3609271552085875	0.3076590374231342	217.9	161.82433302131727	1000.0	4999.0	22499.0
24999	0.1648984423240395	-0.012990031114076052	0.0192155894170846	0.04504975101211706	0.15586505301591091	-0.03679439679337832	0.4635978246331211	-0.11917074107274392	1.4103141501903522	0.2512651770114905	158.4	149.2358138120673	1000.0	4999.0	24999.0
27499	0.1634651730061492	-0.009991996413237236	0.016952254662350032	0.042747016674129425	0.14411979969147964	-0.03269098001884553	0.3767302694559096	-0.12600565208034561	1.4361101596832289	0.20432178800702128	407.8	163.66901881446697	1000.0	4999.0	27499.0
29999	0.16216604674584661	-0.008519454918784329	0.015784240004974064	0.0420594976940314	0.15469180861119453	-0.025899982282396514	0.3050399176120764	-0.13531183999364438	1.4735508944034559	0.16556483641862849	243.3	162.58162785457094	1000.0	4999.0	29999.0
32499	0.16594168375830126	-0.008303610238932736	0.015457499858991619	0.042823142317261614	0.1432329028674074	-0.02784320465626825	0.24603042535781758	-0.14349205355213815	1.5215663503646846	0.1337496656179432	188.2	149.01830160180387	1000.0	4999.0	32499.0
34999	0.16789932229819843	-0.008994869591459124	0.015720285636653047	0.04405961703854433	0.14795394570178094	-0.022421272247396495	0.1980033868968488	-0.14662554053350746	1.5725601638793956	0.107794881129265	363.4	160.05534871215383	1000.0	4999.0	34999.0
37499	0.16982192107140356	-0.011760676583913759	0.01732371442279844	0.03991571292218963	0.13302971186449766	-0.02155958731538886	0.15910535274148005	-0.15485443318080705	1.6080250002384193	0.0866921830087901	266.9	157.45966071623366	1000.0	4999.0	37499.0
39999	0.17162440045715563	-0.010369282885088777	0.01629085582258926	0.04368347799998203	0.14131378185801155	-0.019459415276833023	0.12744415961801983	-0.15894441480089705	1.6486623964786524	0.06961660879105334	348.4	158.77860670205436	1000.0	4999.0	39999.0
42499	0.16850822863362588	-0.007123893662616678	0.014205856548691331	0.04528018949557786	0.1535038074485388	-0.019623422417962454	0.10232099267542363	-0.16528507286153302	1.694903529119491	0.055815098997950535	216.3	148.521858184231	1000.0	4999.0	42499.0
44999	0.16630253163393174	-0.004625932547978842	0.012652951794512602	0.04460861116604357	0.14321717390837366	-0.017658909365282263	0.08209527773559097	-0.17241046977045799	1.745628356790542	0.044698103053867844	302.0	169.17792335223652	1000.0	4999.0	44999.0
47499	0.16803119673489783	-0.0058180747561982615	0.013232920380330101	0.0510725819355778	0.16936035648261635	-0.02228845051892764	0.06558112116456023	-0.1750646071536782	1.8005862570762639	0.03576847594976429	328.2	164.08174826388733	1000.0	4999.0	47499.0
49999	0.16395057055594517	-0.0035494106219903137	0.011940659349128335	0.0538059888848154	0.1924842096051491	-0.022172557502223925	0.05251291643083102	-0.18002181450890833	1.82978586215973	0.028602300222963117	400.5	164.52463941625007	1000.0	4999.0	49999.0
52499	0.16735512682703146	-0.006786792835480627	0.013650155905779272	0.05643533493406062	0.21205181399572245	-0.021057871029063913	0.041963154929876345	-0.18037175361839788	1.8604801371574418	0.022857903256267312	376.3	165.72351381194196	1000.0	4999.0	52499.0
54999	0.1637326312907386	-0.0036096913839055583	0.011928719324934379	0.05189667744973595	0.18544078582524684	-0.018590251402294224	0.033598329551517904	-0.18448791605633658	1.8729087764263126	0.018256943363696407	210.3	161.36034371386944	1000.0	4999.0	54999.0
