Steps	loss/loss_vae	loss/critic_loss	loss/cost_critic_loss	loss/alpha_value	loss/actor_loss	eval/Cost	eval/Reward	eval/Length	train/best_idx	update/env_step
2499	0.08429373976886258	0.0005248853905808208	3.9172016014470405	1.6087572637081178	-0.010159212276554874	23.3	38.46379061105148	1000.0	2499.0	2499.0
4999	0.06504836559593703	0.0010769186693253118	68.67120605341461	33.695976266479434	-0.11366491646915686	15.5	11.331118821944703	1000.0	4999.0	4999.0
7499	0.061070372469723196	0.0020015088989299625	354.29894555277633	148.4131622314453	-0.22434685891866693	0.0	14.03252103395641	1000.0	7499.0	7499.0
9999	0.05860049622505913	0.0035629940437522517	348.13143251523024	148.4131622314453	-0.3355553790569308	162.3	77.94585927157728	1000.0	7499.0	9999.0
12499	0.05681879539340741	0.005209088849876021	339.2064489350842	148.4131622314453	-0.41461553602218515	100.9	101.13199287107928	1000.0	7499.0	12499.0
14999	0.05564587661474943	0.007527396189589954	360.29138135090346	148.4131622314453	-0.4908297180294986	1.5	2.2915062502234074	1000.0	7499.0	14999.0
17499	0.054479902307689176	0.009235383850992636	436.6052492069083	148.4131622314453	-0.549827783298492	49.0	40.96759302917176	1000.0	7499.0	17499.0
19999	0.05393945139348501	0.013813418248447965	442.0251485945259	148.4131622314453	-0.6087390853643425	19.7	-3.9672587199559937	1000.0	7499.0	19999.0
22499	0.052975603964924754	0.01964940756402119	452.5797427192728	148.4131622314453	-0.7384922286748895	311.4	152.38996581988403	1000.0	7499.0	22499.0
24999	0.05246987326443191	0.04988370559428835	430.1355516836621	148.4131622314453	-0.8884086606740957	136.7	72.62209152003568	1000.0	7499.0	24999.0
27499	0.05183272379487759	0.09071131655448139	451.20046188602606	148.4131622314453	-1.205892308926582	248.5	170.17297031703114	1000.0	7499.0	27499.0
29999	0.05147789560854434	0.03423804018629591	466.16618266758627	148.4131622314453	-1.1307981924057007	30.3	129.8522596892648	1000.0	7499.0	29999.0
32499	0.05124641637206079	0.0199761054261547	508.09320765737317	148.4131622314453	-1.0474140857696537	109.0	75.38576161134822	1000.0	7499.0	32499.0
34999	0.05102385013848542	0.018518192414325882	492.59949850719664	148.4131622314453	-0.9479386906623849	2.0	44.328929407434586	1000.0	7499.0	34999.0
37499	0.05053859450668102	0.018982199166764836	457.6118939892896	148.4131622314453	-1.012366295170783	293.4	141.89347249496765	1000.0	7499.0	37499.0
39999	0.05031681473851198	0.01795780089030444	457.5724220764565	148.4131622314453	-1.1297661011934275	370.1	117.83933976400465	1000.0	7499.0	39999.0
42499	0.05032855038046824	0.01976930785450043	481.3019856550182	148.4131622314453	-1.1208325067520137	271.2	64.3335900185875	1000.0	7499.0	42499.0
44999	0.049749831657111554	0.022924577729305024	503.7106787838652	148.4131622314453	-1.1565583498001097	17.1	41.78808555184156	1000.0	7499.0	44999.0
47499	0.049579067292809566	0.02103959687101852	545.6004241967893	148.4131622314453	-1.2263581501007048	84.3	110.57287634023037	1000.0	7499.0	47499.0
49999	0.049419729663431666	0.0239168903821188	525.8015627019084	148.4131622314453	-1.2338948859691632	121.1	64.32709315817296	1000.0	7499.0	49999.0
52499	0.049305239175260175	0.025022027134256913	508.631785471496	148.4131622314453	-1.2092120062351224	1.8	33.05041065221108	1000.0	7499.0	52499.0
54999	0.04904237894117836	0.0243988956810155	492.87442872935844	148.4131622314453	-1.2352791342735268	170.8	66.94278076211788	1000.0	7499.0	54999.0
57499	0.04899878372848025	0.018398154108471305	518.347825943348	148.4131622314453	-1.2695252180099514	116.7	117.6021426794814	1000.0	7499.0	57499.0
59999	0.048954029701650144	0.02208675024556976	515.6092354041907	148.4131622314453	-1.233900362157819	0.0	7.205032954874501	1000.0	7499.0	59999.0
62499	0.048906768469512564	0.020159495579558706	473.03008055055284	148.4131622314453	-1.2286213022708867	6.0	9.955528121253648	1000.0	7499.0	62499.0
64999	0.048490159428119704	0.020858400555621045	489.0865303822337	148.4131622314453	-1.234146172761918	124.3	53.13199427787788	1000.0	7499.0	64999.0
67499	0.0484430317848921	0.023831444783370483	490.40735545376407	148.4131622314453	-1.1957899891853332	36.6	21.720236117017276	1000.0	7499.0	67499.0
69999	0.0481964905969798	0.022795447229027006	480.5479026224461	148.4131622314453	-1.1755106405258187	98.4	29.05330481095153	1000.0	7499.0	69999.0
72499	0.048194618472457026	0.020099536113224743	464.0847899071432	148.4131622314453	-1.1758407185554514	0.4	2.445849979906515	1000.0	7499.0	72499.0
74999	0.04806189381480227	0.018484805628946	473.7254774334003	148.4131622314453	-1.2195450592041024	30.8	88.04154434189677	1000.0	7499.0	74999.0
77499	0.04792897202372551	0.026210656481077253	472.2528808649768	148.4131622314453	-1.3217921885013566	23.9	14.509984508813313	1000.0	7499.0	77499.0
79999	0.04794586485773329	0.03071244957293285	477.18474868026766	148.4131622314453	-1.4654026973724354	167.5	18.93194768982144	1000.0	7499.0	79999.0
82499	0.047693127137422575	0.02356949635864929	496.42184565695953	148.4131622314453	-1.5412245513916025	108.9	0.5625065536722453	1000.0	7499.0	82499.0
84999	0.047766981102526244	0.016508105539960804	508.6671648715442	148.4131622314453	-1.5419587407112145	81.2	34.636884534568516	1000.0	7499.0	84999.0
87499	0.047883861435949714	0.019567250919321377	500.84041235446034	148.4131622314453	-1.5061744818210605	7.3	-34.58767700971592	1000.0	7499.0	87499.0
89999	0.0476056869447232	0.01836857372898135	498.31654279244134	148.4131622314453	-1.437919957113261	28.9	128.28654255687147	1000.0	7499.0	89999.0
92499	0.04748237762004139	0.02775110276581216	503.60327037488446	148.4131622314453	-1.363634123945234	122.7	103.63624282902727	1000.0	7499.0	92499.0
94999	0.04730282853394756	0.015589312165014624	503.2627474118109	148.4131622314453	-1.335563146734237	0.0	79.1089752128919	1000.0	94999.0	94999.0
97499	0.04740409375131133	0.019076500653955906	493.61164406553246	148.4131622314453	-1.308886560440065	24.5	15.11367079631842	1000.0	94999.0	97499.0
99999	0.04742395365983254	0.023238624997560478	483.81141912988846	148.4131622314453	-1.275685192489623	22.4	-2.1457371164950976	1000.0	94999.0	99999.0
